ID;TarifID;DateStart;DateEnd;Value
2193;23;2015-10-01 00:00:00;2015-10-31 00:00:00;4.5300
2194;23;2015-11-01 00:00:00;2015-11-30 00:00:00;4.2000
2195;23;2015-12-01 00:00:00;2015-12-31 00:00:00;4.3500
2196;23;2016-01-01 00:00:00;2016-01-31 00:00:00;4.4600
2197;23;2016-02-01 00:00:00;2016-02-29 00:00:00;4.4900
2199;23;2016-03-01 00:00:00;2016-03-31 00:00:00;4.6500
2200;23;2016-04-01 00:00:00;2016-04-30 00:00:00;4.5700
2201;23;2016-05-01 00:00:00;2016-05-31 00:00:00;4.5900
2202;23;2016-06-01 00:00:00;2016-06-30 00:00:00;4.2800
2203;1;2016-07-01 00:00:00;2017-06-30 00:00:00;2.5800
2204;2;2016-07-01 00:00:00;2017-06-30 00:00:00;2.6300
2205;3;2016-07-01 00:00:00;2017-06-30 00:00:00;1.3100
2206;4;2016-07-01 00:00:00;2017-06-30 00:00:00;1.8100
2207;5;2016-07-01 00:00:00;2017-06-30 00:00:00;1.8400
2208;6;2016-07-01 00:00:00;2017-06-30 00:00:00;0.9200
2209;7;2016-07-01 00:00:00;2017-06-30 00:00:00;1.8100
2210;8;2016-07-01 00:00:00;2017-06-30 00:00:00;1.8400
2211;9;2016-07-01 00:00:00;2017-06-30 00:00:00;0.9200
2212;10;2016-07-01 00:00:00;2017-06-30 00:00:00;2.5800
2213;11;2016-07-01 00:00:00;2017-06-30 00:00:00;2.6300
2214;12;2016-07-01 00:00:00;2017-06-30 00:00:00;1.3100
2215;27;2016-07-01 00:00:00;2017-06-30 00:00:00;1.8400
2216;28;2016-07-01 00:00:00;2017-06-30 00:00:00;0.9200
2217;29;2016-07-01 00:00:00;2017-06-30 00:00:00;1.8100
2218;23;2016-07-01 00:00:00;2016-07-31 00:00:00;4.6600
2220;23;2016-08-01 00:00:00;2016-08-31 00:00:00;4.6100
2222;23;2016-09-01 00:00:00;2016-09-30 00:00:00;4.7100
2225;23;2016-10-01 00:00:00;2016-10-31 00:00:00;4.5800
2228;23;2016-11-01 00:00:00;2016-11-30 00:00:00;4.6600
2230;23;2016-12-01 00:00:00;2016-12-31 00:00:00;4.5000
